"id","trade_date","trade_action","predicted_price","final_portfolio_value","created_at"
85,"2024-05-31","HOLD","191.44000244140625","112234.97433232034","2025-01-09 20:52:10.603487"
86,"2024-06-03","HOLD","192.89999389648438","113090.49713302361","2025-01-09 20:52:10.603487"
87,"2024-06-04","HOLD","194.63999938964844","114110.10198589666","2025-01-09 20:52:10.603487"
88,"2024-06-05","HOLD","195.39999389648438","114555.44200946043","2025-01-09 20:52:10.603487"
89,"2024-06-06","HOLD","195.69000244140625","114725.3806222629","2025-01-09 20:52:10.603487"
90,"2024-06-07","HOLD","194.64999389648438","114115.95854652938","2025-01-09 20:52:10.603487"
91,"2024-06-10","HOLD","196.89999389648438","115434.40893532251","2025-01-09 20:52:10.603487"
92,"2024-06-11","HOLD","193.64999389648438","113529.98059595466","2025-01-09 20:52:10.603487"
93,"2024-06-12","HOLD","207.3699951171875","121569.59879314495","2025-01-09 20:52:10.603487"
94,"2024-06-13","HOLD","214.74000549316406","125888.26236897413","2025-01-09 20:52:10.603487"
95,"2024-06-14","HOLD","213.85000610351562","125366.74235061518","2025-01-09 20:52:10.603487"
96,"2024-06-17","HOLD","213.3699951171875","125085.46649659328","2025-01-09 20:52:10.603487"
97,"2024-06-18","HOLD","217.58999633789062","127558.29416332372","2025-01-09 20:52:10.603487"
98,"2024-06-20","HOLD","213.92999267578125","125413.6127183049","2025-01-09 20:52:10.603487"
99,"2024-06-21","HOLD","210.38999938964844","123339.25470744852","2025-01-09 20:52:10.603487"
100,"2024-06-24","HOLD","207.72000122070312","121774.69465237169","2025-01-09 20:52:10.603487"
101,"2024-06-25","SELL","209.14999389648438","122551.36018746976","2025-01-09 20:52:10.603487"
102,"2024-06-26","SELL","211.5","123208.9024835212","2025-01-09 20:52:10.603487"
103,"2024-06-27","SELL","214.69000244140625","123660.49480580217","2025-01-09 20:52:10.603487"
104,"2024-06-28","SELL","215.77000427246094","123731.69968419327","2025-01-09 20:52:10.603487"
105,"2024-07-01","SELL","212.08999633789062","123593.04071304991","2025-01-09 20:52:10.603487"
106,"2024-07-02","HOLD","216.14999389648438","123667.3866208225","2025-01-09 20:52:10.603487"
107,"2024-07-03","HOLD","220.0","123737.88720476745","2025-01-09 20:52:10.603487"
108,"2024-07-05","HOLD","221.64999389648438","123768.10158107753","2025-01-09 20:52:10.603487"
109,"2024-07-08","HOLD","227.08999633789062","123867.7178773818","2025-01-09 20:52:10.603487"
110,"2024-07-09","HOLD","227.92999267578125","123883.09973152453","2025-01-09 20:52:10.603487"
111,"2024-07-10","HOLD","229.3000030517578","123908.18710253644","2025-01-09 20:52:10.603487"
112,"2024-07-11","HOLD","231.38999938964844","123946.4587203735","2025-01-09 20:52:10.603487"
113,"2024-07-12","HOLD","228.9199981689453","123901.22852496023","2025-01-09 20:52:10.603487"
114,"2024-07-15","HOLD","236.47999572753906","124039.66577107694","2025-01-09 20:52:10.603487"
115,"2024-07-16","HOLD","235.0","124012.56436909935","2025-01-09 20:52:10.603487"
116,"2024-07-17","HOLD","229.4499969482422","123910.93376241333","2025-01-09 20:52:10.603487"
117,"2024-07-18","SELL","230.27999877929688","123924.02417713405","2025-01-09 20:52:10.603487"
118,"2024-07-19","SELL","224.82000732421875","123873.00379609385","2025-01-09 20:52:10.603487"
119,"2024-07-22","SELL","227.00999450683594","123882.50983340155","2025-01-09 20:52:10.603487"
120,"2024-07-23","SELL","224.3699951171875","123876.2101483749","2025-01-09 20:52:10.603487"
121,"2024-07-24","SELL","224.0","123875.65851065819","2025-01-09 20:52:10.603487"
122,"2024-07-25","SELL","218.92999267578125","123872.69458822122","2025-01-09 20:52:10.603487"
123,"2024-07-26","SELL","218.6999969482422","123872.59749392774","2025-01-09 20:52:10.603487"
124,"2024-07-29","SELL","216.9600067138672","123872.33304988439","2025-01-09 20:52:10.603487"
125,"2024-07-30","HOLD","219.19000244140625","123872.49256261952","2025-01-09 20:52:10.603487"
126,"2024-07-31","SELL","221.44000244140625","123872.64558641215","2025-01-09 20:52:10.603487"
127,"2024-08-01","SELL","224.3699951171875","123872.74636602448","2025-01-09 20:52:10.603487"
128,"2024-08-02","HOLD","219.14999389648438","123872.65301868509","2025-01-09 20:52:10.603487"
129,"2024-08-05","HOLD","199.08999633789062","123872.29429321334","2025-01-09 20:52:10.603487"
130,"2024-08-06","HOLD","205.3000030517578","123872.40534445258","2025-01-09 20:52:10.603487"
131,"2024-08-07","HOLD","206.89999389648438","123872.43395649348","2025-01-09 20:52:10.603487"
132,"2024-08-08","SELL","213.11000061035156","123872.5431022493","2025-01-09 20:52:10.603487"
133,"2024-08-09","SELL","212.10000610351562","123872.53312334495","2025-01-09 20:52:10.603487"
134,"2024-08-12","SELL","216.07000732421875","123872.55038887114","2025-01-09 20:52:10.603487"
135,"2024-08-13","SELL","219.00999450683594","123872.5567159286","2025-01-09 20:52:10.603487"
136,"2024-08-14","HOLD","220.57000732421875","123872.55845949915","2025-01-09 20:52:10.603487"
